date,ConfirmedCases,Fatalities
2020-05-08 00:00:00,1273093.3664920554,76465.47504120498
2020-05-09 00:00:00,1293210.0574903344,78238.38680653149
2020-05-10 00:00:00,1312488.3784860896,79607.08596612325
2020-05-11 00:00:00,1330937.3451980818,81295.26862221566
2020-05-12 00:00:00,1348568.3672277916,82721.40073438875
2020-05-13 00:00:00,1365395.0875538967,84120.46894237502
2020-05-14 00:00:00,1381433.106440352,85572.93686891504
2020-05-15 00:00:00,1396699.7284206387,86785.53974529698
2020-05-16 00:00:00,1411213.8045310052,88155.31466501055
2020-05-17 00:00:00,1424995.4100257396,89244.36645767612
2020-05-18 00:00:00,1438065.7581533308,90402.74630999626
2020-05-19 00:00:00,1450446.9097040382,91572.51139624752
2020-05-20 00:00:00,1462161.632828184,92561.43770506332
2020-05-21 00:00:00,1473233.2419935225,93595.18979740393
2020-05-22 00:00:00,1483685.4066914483,94580.55473852184
2020-05-23 00:00:00,1493542.0378654343,95374.64427946844
2020-05-24 00:00:00,1502827.1378841475,96326.2851233701
2020-05-25 00:00:00,1511564.6800197535,97032.53028032611
2020-05-26 00:00:00,1519778.5063628564,97863.50565898824
2020-05-27 00:00:00,1527492.2144871366,98622.07672653037
2020-05-28 00:00:00,1534729.081158026,99213.94947020196
2020-05-29 00:00:00,1541511.992689777,100010.1877757474
2020-05-30 00:00:00,1547863.344812489,100411.15963919327
2020-05-31 00:00:00,1553805.035041471,101111.8768382095
2020-06-01 00:00:00,1559358.3619842452,101645.1046096238
2020-06-02 00:00:00,1564544.016956869,102090.03339537988
2020-06-03 00:00:00,1569382.0425789333,102660.99578903193
2020-06-04 00:00:00,1573891.794064469,103037.95488326886
2020-06-05 00:00:00,1578091.9438511443,103500.72042616483
2020-06-06 00:00:00,1582000.4386158634,103896.44062343228
2020-06-07 00:00:00,1585634.5160227322,104150.65535350074
2020-06-08 00:00:00,1589010.684329512,104630.26240311377
2020-06-09 00:00:00,1592144.7276256427,104814.76228677029
2020-06-10 00:00:00,1595051.7144018947,105177.6103673115
2020-06-11 00:00:00,1597745.9979144665,105499.50931570491
2020-06-12 00:00:00,1600241.2305205348,105674.3225887516
2020-06-13 00:00:00,1602550.381893659,106022.47974161268
2020-06-14 00:00:00,1604685.7408252812,106149.3325827169
2020-06-15 00:00:00,1606658.9516114525,106423.9015984722
2020-06-16 00:00:00,1608481.0136654675,106593.55387129971
2020-06-17 00:00:00,1610162.3169088392,106660.34102533806
2020-06-18 00:00:00,1611712.6543357891,106961.35652775023
2020-06-19 00:00:00,1613141.2456699407,107057.8600533083
2020-06-20 00:00:00,1614456.7620795248,107195.05322143713
2020-06-21 00:00:00,1615667.3469066226,107404.46191611497
2020-06-22 00:00:00,1616780.6370047606,107413.64577241999
2020-06-23 00:00:00,1617803.7921407246,107671.45235492644
2020-06-24 00:00:00,1618743.5072636444,107605.56790743684
2020-06-25 00:00:00,1619606.0469284817,107759.01117212238
2020-06-26 00:00:00,1620397.257682826,107895.23555488659
2020-06-27 00:00:00,1621122.5943443861,107918.15125536441
2020-06-28 00:00:00,1621787.1414455092,108044.0452541572
2020-06-29 00:00:00,1622395.6310211837,108127.81353800361
2020-06-30 00:00:00,1622952.465550734,108121.47968936042
