date,ML,Low_90,High_90
2020-03-04,0.0,0.0,10.81
2020-03-05,2.08,0.63,3.33
2020-03-06,2.09,1.11,3.02
2020-03-07,2.06,1.21,2.7800000000000002
2020-03-08,2.24,1.5,2.87
2020-03-09,2.5,1.85,3.0700000000000003
2020-03-10,2.79,2.22,3.31
2020-03-11,2.84,2.32,3.3000000000000003
2020-03-12,2.86,2.37,3.2600000000000002
2020-03-13,2.75,2.31,3.12
2020-03-14,2.77,2.37,3.11
2020-03-15,2.75,2.4,3.0700000000000003
2020-03-16,3.47,3.15,3.74
2020-03-17,3.59,3.3200000000000003,3.8200000000000003
2020-03-18,3.58,3.34,3.77
2020-03-19,3.44,3.23,3.6
2020-03-20,3.45,3.27,3.59
2020-03-21,2.79,2.62,2.91
2020-03-22,2.37,2.23,2.49
2020-03-23,2.12,1.99,2.23
2020-03-24,2.07,1.93,2.16
2020-03-25,2.09,1.98,2.19
2020-03-26,2.11,1.99,2.19
2020-03-27,1.94,1.82,2.0100000000000002
2020-03-28,1.8800000000000001,1.77,1.95
2020-03-29,1.6600000000000001,1.56,1.73
2020-03-30,1.53,1.44,1.6
2020-03-31,1.74,1.6600000000000001,1.81
2020-04-01,1.77,1.68,1.83
2020-04-02,1.58,1.49,1.6300000000000001
2020-04-03,1.34,1.26,1.4000000000000001
2020-04-04,1.19,1.11,1.25
2020-04-05,0.93,0.85,0.99
2020-04-06,0.9500000000000001,0.86,1.0
2020-04-07,1.06,0.97,1.11
2020-04-08,1.22,1.1500000000000001,1.28
2020-04-09,1.19,1.12,1.25
2020-04-10,1.03,0.9500000000000001,1.08
2020-04-11,0.84,0.77,0.9
2020-04-12,0.8300000000000001,0.75,0.89
2020-04-13,0.9,0.8200000000000001,0.96
2020-04-14,0.92,0.84,0.98
2020-04-15,1.06,0.98,1.12
2020-04-16,1.1300000000000001,1.06,1.19
2020-04-17,0.96,0.88,1.02
2020-04-18,0.85,0.76,0.9
2020-04-19,0.92,0.84,0.98
2020-04-20,0.78,0.7000000000000001,0.84
2020-04-21,1.09,1.01,1.1500000000000001
2020-04-22,1.31,1.23,1.37
2020-04-23,1.34,1.26,1.3900000000000001
2020-04-24,1.29,1.22,1.35
2020-04-25,1.02,0.9400000000000001,1.07
2020-04-26,0.7000000000000001,0.62,0.75
2020-04-27,0.63,0.54,0.68
2020-04-28,0.62,0.53,0.67
2020-04-29,0.92,0.84,0.98
2020-04-30,1.23,1.1500000000000001,1.29
2020-05-01,1.27,1.18,1.32
2020-05-02,1.04,0.9500000000000001,1.09
2020-05-03,0.8300000000000001,0.74,0.88
2020-05-04,0.64,0.55,0.6900000000000001
2020-05-05,0.67,0.6,0.74
2020-05-06,0.88,0.79,0.9400000000000001
2020-05-07,1.05,0.98,1.12
2020-05-08,1.0,0.92,1.06
2020-05-09,0.85,0.76,0.91
2020-05-10,0.66,0.5700000000000001,0.72
2020-05-11,0.59,0.5,0.65
2020-05-12,0.76,0.66,0.8200000000000001
2020-05-13,1.01,0.92,1.08
2020-05-14,1.2,1.12,1.27
2020-05-15,1.21,1.1300000000000001,1.28
2020-05-16,1.03,0.9500000000000001,1.1
2020-05-17,0.78,0.7000000000000001,0.85
2020-05-18,0.78,0.68,0.84
2020-05-19,0.87,0.77,0.93
2020-05-20,1.1,1.0,1.16
2020-05-21,1.18,1.1,1.25
2020-05-22,1.12,1.03,1.18
2020-05-23,0.9500000000000001,0.87,1.02
2020-05-24,0.79,0.6900000000000001,0.85
2020-05-25,0.67,0.5700000000000001,0.73
2020-05-26,0.75,0.66,0.8200000000000001
2020-05-27,1.0,0.91,1.07
2020-05-28,1.2,1.11,1.27
2020-05-29,1.16,1.07,1.23
2020-05-30,1.1300000000000001,1.03,1.19
2020-05-31,1.0,0.9,1.06
2020-06-01,0.9400000000000001,0.84,1.0
2020-06-02,0.9,0.81,0.97
2020-06-03,1.3900000000000001,1.31,1.46
2020-06-04,1.3800000000000001,1.3,1.45
2020-06-05,1.32,1.23,1.3800000000000001
2020-06-06,1.04,0.9500000000000001,1.1
2020-06-07,0.71,0.62,0.77
2020-06-08,0.49,0.41000000000000003,0.56
2020-06-09,0.6,0.51,0.67
2020-06-10,0.68,0.59,0.75
2020-06-11,1.35,1.25,1.41
2020-06-12,1.31,1.21,1.37
2020-06-13,1.16,1.07,1.22
2020-06-14,1.07,0.99,1.1400000000000001
2020-06-15,1.01,0.93,1.08
2020-06-16,1.12,1.04,1.19
2020-06-17,1.37,1.28,1.43
2020-06-18,1.49,1.41,1.55
2020-06-19,1.44,1.35,1.49
2020-06-20,1.32,1.24,1.3800000000000001
2020-06-21,1.19,1.12,1.25
2020-06-22,1.22,1.1500000000000001,1.28
2020-06-23,1.32,1.24,1.37
2020-06-24,1.49,1.41,1.54
2020-06-25,1.52,1.45,1.57
2020-06-26,1.47,1.3900000000000001,1.51
2020-06-27,1.28,1.2,1.32
2020-06-28,1.16,1.1,1.21
2020-06-29,1.1400000000000001,1.08,1.19
2020-06-30,1.23,1.16,1.27
2020-07-01,1.2,1.1300000000000001,1.24
2020-07-02,1.23,1.16,1.27
2020-07-03,1.16,1.09,1.2
2020-07-04,1.08,1.01,1.12
