Date,ConfirmedCases,Fatalities
2020/7/4 0:00,11492779.81,567527.5538
2020/7/5 0:00,11674009.47,577404.0563
2020/7/6 0:00,11858865.23,587411.0491
2020/7/7 0:00,12047694.71,597549.2468
2020/7/8 0:00,12239936.82,607822.4913
2020/7/9 0:00,12434121.66,618237.7514
2020/7/10 0:00,12628370.04,628803.4193
2020/7/11 0:00,12824207.04,639516.2921
2020/7/12 0:00,13023762.81,650371.1246
2020/7/13 0:00,13227956.35,661366.8337
2020/7/14 0:00,13436549.49,672506.3144
2020/7/15 0:00,13648146.93,683796.4397
2020/7/16 0:00,13860202.94,695248.0377
2020/7/17 0:00,14072158.92,706865.1802
2020/7/18 0:00,14287317.65,718638.7793
2020/7/19 0:00,14507493.67,730564.8558
2020/7/20 0:00,14732999.08,742644.5915
2020/7/21 0:00,14962643.48,754884.3288
2020/7/22 0:00,15193734.02,767295.5709
2020/7/23 0:00,15424062.78,779888.1945
2020/7/24 0:00,15657253.66,792652.1861
2020/7/25 0:00,15895344.11,805582.979
2020/7/26 0:00,16138810.08,818681.372
2020/7/27 0:00,16386666.5,831953.1866
2020/7/28 0:00,16636467.3,845409.2669
2020/7/29 0:00,16886570.02,859057.7432
2020/7/30 0:00,17140093.04,872890.5109
2020/7/31 0:00,17398422.55,886905.414
2020/8/1 0:00,17661795.39,901104.2578
2020/8/2 0:00,17929342.84,915492.6587
2020/8/3 0:00,18199090.87,930080.0437
2020/8/4 0:00,18470348.66,944871.4887
2020/8/5 0:00,18745425.49,959861.8481
2020/8/6 0:00,19025436.23,975050.0923
2020/8/7 0:00,19310578.33,990438.363
2020/8/8 0:00,19600131.82,1006031.974
2020/8/9 0:00,19892459.31,1021839.409
2020/8/10 0:00,20186265.32,1037868.023
2020/8/11 0:00,20483697.85,1054113.429
2020/8/12 0:00,20786399.81,1070573.003
2020/8/13 0:00,21094942.72,1087247.823
2020/8/14 0:00,21408838.35,1104142.629
2020/8/15 0:00,21726538.71,1121265.822
2020/8/16 0:00,22045599.66,1138628.907
2020/8/17 0:00,22366758.65,1156232.548
2020/8/18 0:00,22693059,1174069.554
2020/8/19 0:00,23026042.47,1192137.912
2020/8/20 0:00,23365764.57,1210440.732
2020/8/21 0:00,23710794.61,1228986.251
2020/8/22 0:00,24058215.64,1247787.833
2020/8/23 0:00,24406104.72,1266855.481
2020/8/24 0:00,24758490.29,1286178.873
2020/8/25 0:00,25117697,1305753.556
2020/8/26 0:00,25484289.77,1325581.144
2020/8/27 0:00,25857114.6,1345669.176
2020/8/28 0:00,26233298.6,1366031.12
2020/8/29 0:00,26611167.36,1386676.384
2020/8/30 0:00,26994600,1407595.408
